Distribution,Instance,Zeta,Objective,Total tour time,Average decision time (s),Maximum decision time (s)
R101,1,1,71,610,0.023,0.063
R101,2,1,72,627,0.019,0.047
R101,3,1,67,619,0.021,0.063
R101,4,1,69,596,0.016,0.016
R101,5,1,68,607,0.023,0.063
R101,6,1,69,614,0.016,0.016
R101,7,1,65,613,0.018,0.031
R101,8,1,64,623,0.016,0.031
R101,9,1,68,600,0.024,0.062
R101,10,1,68,628,0.018,0.032
R101,1,1.25,86,775,0.021,0.047
R101,2,1.25,85,778,0.021,0.047
R101,3,1.25,83,773,0.022,0.047
R101,4,1.25,82,765,0.017,0.031
R101,5,1.25,81,763,0.019,0.063
R101,6,1.25,82,774,0.016,0.031
R101,7,1.25,79,757,0.020,0.047
R101,8,1.25,83,777,0.016,0.031
R101,9,1.25,83,758,0.020,0.047
R101,10,1.25,84,789,0.018,0.047
R101,1,1.5,99,922,0.020,0.063
R101,2,1.5,96,935,0.021,0.047
R101,3,1.5,98,895,0.025,0.047
R101,4,1.5,95,899,0.017,0.032
R101,5,1.5,97,920,0.021,0.078
R101,6,1.5,96,912,0.018,0.032
R101,7,1.5,98,916,0.024,0.063
R101,8,1.5,96,927,0.018,0.032
R101,9,1.5,99,907,0.019,0.062
R101,10,1.5,98,941,0.023,0.047
RC101,1,1,56,532,0.016,0.016
RC101,2,1,60,553,0.020,0.046
RC101,3,1,61,542,0.017,0.031
RC101,4,1,56,561,0.017,0.046
RC101,5,1,57,577,0.030,0.079
RC101,6,1,60,590,0.018,0.031
RC101,7,1,63,570,0.017,0.046
RC101,8,1,57,538,0.020,0.063
RC101,9,1,64,569,0.017,0.032
RC101,10,1,59,569,0.026,0.078
RC101,1,1.25,79,695,0.017,0.032
RC101,2,1.25,79,708,0.024,0.062
RC101,3,1.25,79,699,0.018,0.032
RC101,4,1.25,74,723,0.018,0.032
RC101,5,1.25,70,735,0.036,0.078
RC101,6,1.25,80,756,0.018,0.032
RC101,7,1.25,75,714,0.020,0.063
RC101,8,1.25,75,702,0.019,0.063
RC101,9,1.25,78,713,0.021,0.062
RC101,10,1.25,78,722,0.033,0.094
RC101,1,1.5,90,858,0.025,0.063
RC101,2,1.5,92,875,0.026,0.078
RC101,3,1.5,91,845,0.024,0.047
RC101,4,1.5,89,891,0.024,0.078
RC101,5,1.5,88,899,0.042,0.109
RC101,6,1.5,95,906,0.020,0.047
RC101,7,1.5,93,879,0.018,0.047
RC101,8,1.5,96,847,0.025,0.078
RC101,9,1.5,94,873,0.022,0.062
RC101,10,1.5,96,856,0.031,0.109
C101,1,1,63,488,0.017,0.047
C101,2,1,60,481,0.021,0.063
C101,3,1,64,485,0.016,0.016
C101,4,1,60,475,0.017,0.047
C101,5,1,60,482,0.018,0.063
C101,6,1,59,480,0.020,0.047
C101,7,1,69,499,0.019,0.078
C101,8,1,64,480,0.016,0.016
C101,9,1,61,496,0.016,0.032
C101,10,1,65,451,0.018,0.062
C101,1,1.25,72,582,0.022,0.047
C101,2,1.25,76,579,0.020,0.047
C101,3,1.25,79,603,0.019,0.094
C101,4,1.25,77,593,0.018,0.031
C101,5,1.25,78,586,0.020,0.047
C101,6,1.25,76,593,0.030,0.062
C101,7,1.25,79,634,0.022,0.063
C101,8,1.25,78,617,0.021,0.047
C101,9,1.25,77,620,0.017,0.032
C101,10,1.25,75,569,0.033,0.094
C101,1,1.5,87,685,0.023,0.047
C101,2,1.5,96,723,0.034,0.094
C101,3,1.5,89,739,0.023,0.063
C101,4,1.5,93,713,0.020,0.032
C101,5,1.5,94,702,0.033,0.125
C101,6,1.5,96,686,0.045,0.110
C101,7,1.5,96,711,0.024,0.078
C101,8,1.5,89,732,0.025,0.078
C101,9,1.5,96,732,0.029,0.094
C101,10,1.5,94,694,0.041,0.110
C201,1,1,59,489,0.018,0.047
C201,2,1,59,495,0.018,0.062
C201,3,1,64,525,0.019,0.032
C201,4,1,59,507,0.019,0.047
C201,5,1,64,510,0.018,0.031
C201,6,1,66,501,0.018,0.046
C201,7,1,65,510,0.017,0.031
C201,8,1,63,508,0.016,0.032
C201,9,1,57,457,0.016,0.016
C201,10,1,63,505,0.017,0.031
C201,1,1.25,73,630,0.023,0.094
C201,2,1.25,71,596,0.019,0.032
C201,3,1.25,71,627,0.023,0.094
C201,4,1.25,75,640,0.021,0.078
C201,5,1.25,74,657,0.024,0.078
C201,6,1.25,79,634,0.018,0.047
C201,7,1.25,77,634,0.017,0.032
C201,8,1.25,78,648,0.017,0.032
C201,9,1.25,75,636,0.027,0.063
C201,10,1.25,77,643,0.020,0.047
C201,1,1.5,93,763,0.024,0.078
C201,2,1.5,88,725,0.025,0.063
C201,3,1.5,79,729,0.023,0.063
C201,4,1.5,94,769,0.020,0.062
C201,5,1.5,85,785,0.025,0.078
C201,6,1.5,91,747,0.024,0.093
C201,7,1.5,93,776,0.021,0.062
C201,8,1.5,97,781,0.026,0.063
C201,9,1.5,86,765,0.034,0.078
C201,10,1.5,89,767,0.022,0.062
